TLID,NAME,WEIGHT
62092870,62092870_backward,66.43697
62043223,62043223_forward,510.41008
62043452,62043452_backward,187.59903
62104706,62104706_forward,637.95335
62046444,62046444_forward,79.38011
62046445,62046445_backward,144.04371
62046450,62046450_forward,123.59879
62084315,62084315_forward,28.75396
62049232,62049232_backward,41.13556
62049237,62049237_backward,144.2826
62049239,62049239_backward,260.9507
62049287,62049287_forward,254.41122
62092943,62092943_backward,60.2028
62092946,62092946_forward,81.61655
62105912,62105912_forward,151.99268
62092952,62092952_backward,91.98763
62092955,62092955_forward,81.87745
62092958,62092958_forward,81.56776
62098367,62098367_backward,44.12836
62100480,62100480_backward,223.30667
62100481,62100481_forward,429.1892
62100482,62100482_forward,182.31886
62092869,62092869_backward,151.74913
62092870,62092870_forward,66.43697
62092874,62092874_forward,157.13779
62092876,62092876_backward,99.12153
62046608,62046608_forward,291.52096
62046609,62046609_backward,298.91196
62091774,62091774_backward,232.03393
62092939,62092939_backward,87.56616
62092941,62092941_backward,194.92509
62092942,62092942_forward,140.71933
62092943,62092943_forward,60.2028
62046456,62046456_backward,203.25432
62046544,62046544_forward,240.19314
62094585,62094585_backward,346.57184
62043782,62043782_backward,272.38513
62043764,62043764_backward,18.61021
62043782,62043782_forward,272.38513
62043761,62043761_forward,86.49869
62043764,62043764_forward,18.61021
62043767,62043767_forward,648.26656
62043760,62043760_forward,95.43842
62043761,62043761_backward,86.49869
62043766,62043766_forward,328.8022
62043785,62043785_backward,77.97665
62043767,62043767_backward,648.26656
62043785,62043785_forward,77.97665
62043766,62043766_backward,328.8022
62043775,62043775_forward,1039.53668
62043760,62043760_backward,95.43842
62043779,62043779_forward,53.60806
62048689,62048689_backward,246.81064
62088675,62088675_backward,204.06453
62043805,62043805_backward,467.89873
62043814,62043814_forward,282.24053
62047389,62047389_forward,79.86514
62047410,62047410_forward,112.53611
62080766,62080766_backward,91.28045
62098135,62098135_backward,386.20993
62098136,62098136_forward,670.29288
62098137,62098137_backward,390.26772
62099009,62099009_forward,442.57305
62046606,62046606_backward,82.312
62046628,62046628_backward,128.99373
62046629,62046629_forward,79.39578
62084322,62084322_backward,15.225
62090328,62090328_forward,355.85081
62105027,62105027_backward,257.28554
62048863,62048863_backward,342.17486
62046621,62046621_backward,90.6124
62046623,62046623_forward,112.11217
62104869,62104869_forward,281.56476
62046627,62046627_forward,165.49785
62092960,62092960_backward,125.42517
62080313,62080313_backward,336.63204
62046610,62046610_backward,385.92648
62046611,62046611_forward,20.54031
62046612,62046612_forward,228.88529
62075768,62075768_backward,97.50977
62045194,62045194_backward,112.55835
62046612,62046612_backward,228.88529
62046620,62046620_forward,81.96607
62046621,62046621_forward,90.6124
62084176,62084176_forward,150.07208
62084180,62084180_backward,84.88993
62088545,62088545_forward,59.61356
62105473,62105473_forward,313.97047
62091775,62091775_forward,61.09458
62083153,62083153_backward,176.64702
